Testcase,Function,Module,Pass Rate,339644,338707,337915,337226,336608,335774,334935,334211,333447,332645,331246,329743,328972,328195
test_ft_controlplane_acl_service_sshv4,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,--NE--,EnvFail
test_ft_controlplane_acl_service_snmp,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,--NE--,EnvFail
ft_ssh_add_user_verify,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,ScriptError,EnvFail,EnvFail,EnvFail,--NE--,EnvFail
ft_reboot_fdb_fast_reboot,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,0,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail
ft_max_vlan_save_reload,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,0,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail
FtOpSoSysFRFn005,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,0,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail,DUTFail
ft_sf_wm_telemetry_interval,test_ft_watermark_telemetry_interval,system/test_snapshot.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_sf_snapshot_tam_Error_Logs,test_ft_watermark_telemetry_interval,system/test_snapshot.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_ntp_message_log_display_with_correct_time,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,71,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail
ft_ntp_disable_ntp_enable_ntp,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,71,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail
ft_ntp_existsconfig,test_ntp_exists_config,system/test_ntp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacsauth_enable_pamfile_created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacs_ssh_login,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacs_single_server_for_auth,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacs_default_login,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
executing_server_key_in_appropriate_mode,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
auth_shared_keys,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_sysName,test_ft_snmp_sysName,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_test_syUpTime,test_ft_snmp_test_syUpTime,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_sysDescr,test_ft_snmp_sysDescr,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn008,test_ft_snmp_mib_2,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn009,test_ft_snmp_if_mib_all,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn010,test_ft_snmp_entity_mib_all,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn013,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn012,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn015,test_ft_snmp_root_node_walk,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn016,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn017,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn020,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSySnFn021,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
test_snmp_ip_forward_table,test_ft_snmp_ip_forward_table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ifXTable,test_ft_snmp_ifx_table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ip_System_Stats_Table,test_ft_snmp_ip_System_Stats_Table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ip_IfStats_Table,test_ft_snmp_ip_IfStats_Table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ip_Address_Table,test_ft_snmp_ip_Address_Table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ip_NetToPhysical_Table,test_ft_snmp_ip_NetToPhysical_Table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_icmp_Msgs,test_ft_snmp_icmp_Msgs,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_tcp_mib,test_ft_snmp_tcp_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_udp_mib,test_ft_snmp_udp_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_snmpv2_mib,test_ft_snmp_snmpv2_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_host_resource_mib,test_ft_snmp_host_resource_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_framework_mib,test_ft_snmp_framework_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_mpd_mib,test_ft_snmp_mpd_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_target_mib,test_ft_snmp_target_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_notification_mib,test_ft_snmp_notification_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_user_based_sm_mib,test_ft_snmp_user_based_sm_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_view_based_acm_mib,test_ft_snmp_view_based_acm_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ent_physical_table,test_ft_snmp_ent_physical_table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_dot3_stats_table,test_ft_snmp_dot3_stats_table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_net_snmp_agent_mib,test_ft_net_snmp_agent_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_net_snmp_vacm_mib,test_ft_net_snmp_vacm_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ucd_diskio_mib,test_ft_snmp_ucd_diskio_mib,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ucd_la_table,test_ft_snmp_ucd_la_table,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_ucd_system_stats,test_ft_snmp_ucd_system_stats,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
SNMPQBr003,test_ft_snmp_dot1q_tp_fdb_port,system/test_snmp.py,71,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass
SNMPQBr002,test_ft_snmp_dot1q_tp_fdb_address,system/test_snmp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
FtOpSoSysImLogFn012,test_ft_snmp_coldstart_trap,system/test_snmp.py,0,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail
SNMPTrap004,test_ft_snmp_coldstart_trap,system/test_snmp.py,0,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail
FtOpSoSySnFn023,test_ft_snmp_docker_restart,system/test_snmp.py,57,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass
CETA_SONIC_67575,test_ft_verify_logs_at_the_time_of_ssh_login_success,system/test_ssh.py,23,ConfigFail,Pass,ConfigFail,ConfigFail,ConfigFail,Pass,ConfigFail,ConfigFail,Pass,ConfigFail,ConfigFail,ConfigFail,--NE--,ConfigFail
ft_lldp_LocManAddrLen,test_ft_lldp_LocManAddrLen,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_LocManAddrlfld,test_ft_lldp_LocManAddrlfld,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_LocManAddrEntry,test_ft_lldp_LocManAddrEntry,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_ConfigManAddrEntry,test_ft_lldp_ConfigManAddrEntry,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_lldplocportid,test_ft_lldp_lldplocportid,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_lldplocsysname,test_ft_lldp_lldplocsysname,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_lldplocsysdesc,test_ft_lldp_lldplocsysdesc,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_snmp_lldp_prem_manaddr_table,test_ft_lldp_rem_man_addr_table,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
FtOpSoSwlldpFn004,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
FtOpSoSwlldpFn008,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
FtOpSoSwlldpFn009,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
FtOpSoSwlldpFn010,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
FtOpSoSwlldpFn011,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
FtOpSoSwlldpFn013,test_ft_lldp_docker_restart,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
lldp_verify_counters,test_lldp_verify_counters,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
ft_lldp_with_remote_server,test_ft_lldp_with_remote_server,system/test_lldp.py,0,--NE--,Fail,--NE--,Fail,Fail,Fail,--NE--,--NE--,Fail,--NE--,--NE--,Fail,Fail,--NE--
Unique: 86,Unique: 66,Unique: 9,>90%: 53/86=61%,<a href='docker-202111-339644-l2/dashboard.html'>59/86=68.60%</a>,<a href='docker-202111-338707-l2/dashboard.html'>55/86=63.95%</a>,<a href='docker-202111-337915-l2/dashboard.html'>59/86=68.60%</a>,<a href='docker-202111-337226-l2/dashboard.html'>59/86=68.60%</a>,<a href='docker-202111-336608-l2/dashboard.html'>57/86=66.28%</a>,<a href='docker-202111-335774-l2/dashboard.html'>56/86=65.12%</a>,<a href='docker-202111-334935-l2/dashboard.html'>56/86=65.12%</a>,<a href='docker-202111-334211-l2/dashboard.html'>58/86=67.44%</a>,<a href='docker-202111-333447-l2/dashboard.html'>56/86=65.12%</a>,<a href='docker-202111-332645-l2/dashboard.html'>58/86=67.44%</a>,<a href='docker-202111-331246-l2/dashboard.html'>58/86=67.44%</a>,<a href='docker-202111-329743-l2/dashboard.html'>59/86=68.60%</a>,<a href='docker-202111-328972-l2/dashboard.html'>57/86=66.28%</a>,<a href='docker-202111-328195-l2/dashboard.html'>55/86=63.95%</a>
