Testcase,Function,Module,Pass Rate,339663,338756,337942,337263,336656,335805,335008,334260,333459,332672,331298,329786,329025,328236
test_ft_controlplane_acl_service_snmp,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail
ft_ssh_add_user_verify,test_ft_ssh_add_user_verify,system/test_ssh.py,0,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail,EnvFail
ft_reboot_fdb_fast_reboot,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,0,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError
ft_max_vlan_save_reload,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,0,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError
FtOpSoSysFRFn005,test_ft_vlan_save_config_warm_and_fast_reboot,switching/test_vlan.py,0,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError,ScriptError
CETA_SONIC_67575,test_ft_verify_logs_at_the_time_of_ssh_login_success,system/test_ssh.py,0,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail,ConfigFail
ft_sf_wm_telemetry_interval,test_ft_watermark_telemetry_interval,system/test_snapshot.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_sf_snapshot_tam_Error_Logs,test_ft_watermark_telemetry_interval,system/test_snapshot.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_snmp_sysName,test_ft_snmp_sysName,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_test_syUpTime,test_ft_snmp_test_syUpTime,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_sysDescr,test_ft_snmp_sysDescr,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn008,test_ft_snmp_mib_2,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn009,test_ft_snmp_if_mib_all,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn010,test_ft_snmp_entity_mib_all,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn013,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn012,test_ft_snmp_dot1q_dot1db_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn015,test_ft_snmp_root_node_walk,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn016,test_ft_snmp_ipAddressRowStatus_ipv6,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn017,test_ft_snmp_ipAddressStorageType_ipv6,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn020,test_ft_snmp_ipv6_If_Forward_default_HopLimit,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn021,test_ft_snmp_ipv6scope_index_table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
test_snmp_ip_forward_table,test_ft_snmp_ip_forward_table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ifXTable,test_ft_snmp_ifx_table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ip_System_Stats_Table,test_ft_snmp_ip_System_Stats_Table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ip_IfStats_Table,test_ft_snmp_ip_IfStats_Table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ip_Address_Table,test_ft_snmp_ip_Address_Table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ip_NetToPhysical_Table,test_ft_snmp_ip_NetToPhysical_Table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_icmp_Msgs,test_ft_snmp_icmp_Msgs,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_tcp_mib,test_ft_snmp_tcp_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_udp_mib,test_ft_snmp_udp_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_snmpv2_mib,test_ft_snmp_snmpv2_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_host_resource_mib,test_ft_snmp_host_resource_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_framework_mib,test_ft_snmp_framework_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_mpd_mib,test_ft_snmp_mpd_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_target_mib,test_ft_snmp_target_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_notification_mib,test_ft_snmp_notification_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_user_based_sm_mib,test_ft_snmp_user_based_sm_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_view_based_acm_mib,test_ft_snmp_view_based_acm_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ent_physical_table,test_ft_snmp_ent_physical_table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_dot3_stats_table,test_ft_snmp_dot3_stats_table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_net_snmp_agent_mib,test_ft_net_snmp_agent_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_net_snmp_vacm_mib,test_ft_net_snmp_vacm_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ucd_diskio_mib,test_ft_snmp_ucd_diskio_mib,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ucd_la_table,test_ft_snmp_ucd_la_table,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_snmp_ucd_system_stats,test_ft_snmp_ucd_system_stats,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
SNMPQBr003,test_ft_snmp_dot1q_tp_fdb_port,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
SNMPQBr002,test_ft_snmp_dot1q_tp_fdb_address,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSysImLogFn012,test_ft_snmp_coldstart_trap,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
SNMPTrap004,test_ft_snmp_coldstart_trap,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
FtOpSoSySnFn023,test_ft_snmp_docker_restart,system/test_snmp.py,0,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
ft_ntp_message_log_display_with_correct_time,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_ntp_disable_ntp_enable_ntp,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_ntp_existsconfig,test_ntp_exists_config,system/test_ntp.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacsauth_enable_pamfile_created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacs_ssh_login,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacs_single_server_for_auth,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_tacacs_default_login,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
executing_server_key_in_appropriate_mode,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
auth_shared_keys,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,100,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
ft_lldp_LocManAddrLen,test_ft_lldp_LocManAddrLen,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_LocManAddrlfld,test_ft_lldp_LocManAddrlfld,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_LocManAddrEntry,test_ft_lldp_LocManAddrEntry,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_ConfigManAddrEntry,test_ft_lldp_ConfigManAddrEntry,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_lldplocportid,test_ft_lldp_lldplocportid,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_lldplocsysname,test_ft_lldp_lldplocsysname,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_lldplocsysdesc,test_ft_lldp_lldplocsysdesc,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_snmp_lldp_prem_manaddr_table,test_ft_lldp_rem_man_addr_table,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSwlldpFn004,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSwlldpFn008,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSwlldpFn009,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSwlldpFn010,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSwlldpFn011,test_ft_lldp_non_default_config,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSwlldpFn013,test_ft_lldp_docker_restart,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
lldp_verify_counters,test_lldp_verify_counters,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
ft_lldp_with_remote_server,test_ft_lldp_with_remote_server,system/test_lldp.py,0,--NE--,--NE--,Fail,--NE--,--NE--,--NE--,Fail,--NE--,Fail,Fail,SKIPPED,--NE--,--NE--,Fail
FtOpSoSyInIpFn002,test_ft_port_fn_verify_shut_noshut,system/test_interface.py,0,--NE--,Fail,Fail,--NE--,--NE--,Fail,Fail,--NE--,Fail,Fail,--NE--,--NE--,Fail,Fail
Unique: 86,Unique: 66,Unique: 9,>90%: 19/86=22%,<a href='docker-master-339663-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-338756-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-337942-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-337263-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-336656-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-335805-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-335008-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-334260-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-333459-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-332672-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-331298-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-329786-l2/dashboard.html'>19/86=22.09%</a>,<a href='docker-master-329025-l2/dashboard.html'>16/86=18.60%</a>,<a href='docker-master-328236-l2/dashboard.html'>19/86=22.09%</a>
