#Release,Feature,TestCaseID,FunctionName
Buzznik,SNMP MIB and Traps,SNMPQBr003,test_ft_snmp_dot1q_tp_fdb_port
Buzznik,SNMP MIB and Traps,SNMPTrap004,test_ft_snmp_coldstart_trap
Buzznik,warmboot,FtOpSoSysFRFn005,test_ft_vlan_save_config_warm_and_fast_reboot
Buzznik,warmboot,ft_max_vlan_save_reload,test_ft_vlan_save_config_warm_and_fast_reboot
Buzznik,warmboot,ft_reboot_fdb_fast_reboot,test_ft_vlan_save_config_warm_and_fast_reboot
Buzznik+,Control Plane ACL,test_ft_controlplane_acl_service_snmp,test_ft_ssh_add_user_verify
Buzznik+,Control Plane ACL,test_ft_controlplane_acl_service_sshv4,test_ft_ssh_add_user_verify
Buzznik+,Control Plane ACL,test_ft_controlplane_acl_service_sshv6,test_ft_ssh_add_user_verify
Buzznik+,Regression,FtOpSoSwlldpFn013,test_ft_lldp_docker_restart
Buzznik+,Regression,FtOpSoSySnFn023,test_ft_snmp_docker_restart
Buzznik+,Regression,ft_ntp_existsconfig,test_ntp_exists_config
Buzznik+,Regression,lldp_verify_counters,test_lldp_verify_counters
Buzznik3.2.0,In-Memory Debug Log,FtOpSoSysImLogFn012,test_ft_snmp_coldstart_trap
Buzznik3.2.0,SNMP Agent Optimization,ft_net_snmp_agent_mib,test_ft_net_snmp_agent_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_net_snmp_vacm_mib,test_ft_net_snmp_vacm_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_dot3_stats_table,test_ft_snmp_dot3_stats_table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ent_physical_table,test_ft_snmp_ent_physical_table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_framework_mib,test_ft_snmp_framework_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_host_resource_mib,test_ft_snmp_host_resource_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_icmp_Msgs,test_ft_snmp_icmp_Msgs
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ifXTable,test_ft_snmp_ifx_table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ip_Address_Table,test_ft_snmp_ip_Address_Table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ip_IfStats_Table,test_ft_snmp_ip_IfStats_Table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ip_NetToPhysical_Table,test_ft_snmp_ip_NetToPhysical_Table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ip_System_Stats_Table,test_ft_snmp_ip_System_Stats_Table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_lldp_prem_manaddr_table,test_ft_lldp_rem_man_addr_table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_mpd_mib,test_ft_snmp_mpd_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_notification_mib,test_ft_snmp_notification_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_snmpv2_mib,test_ft_snmp_snmpv2_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_target_mib,test_ft_snmp_target_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_tcp_mib,test_ft_snmp_tcp_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ucd_diskio_mib,test_ft_snmp_ucd_diskio_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ucd_la_table,test_ft_snmp_ucd_la_table
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_ucd_system_stats,test_ft_snmp_ucd_system_stats
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_udp_mib,test_ft_snmp_udp_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_user_based_sm_mib,test_ft_snmp_user_based_sm_mib
Buzznik3.2.0,SNMP Agent Optimization,ft_snmp_view_based_acm_mib,test_ft_snmp_view_based_acm_mib
Cyrus4.0.0,Instrumentation Enhancements,ft_sf_snapshot_tam_Error_Logs,test_ft_watermark_telemetry_interval
Cyrus4.0.0,Regression,ft_lldp_with_remote_server,test_ft_lldp_with_remote_server
Cyrus4.0.0,Regression,test_snmp_ip_forward_table,test_ft_snmp_ip_forward_table
Cyrus4.1.0,PortChannel Config Enhancements,FtOpSoSwPominFn007,test_ft_verify_min_links_functionality_by_flapping_all_member_ports_007
Cyrus4.1.0,Regression,CETA_SONIC_67575,test_ft_verify_logs_at_the_time_of_ssh_login_success
