#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
50,gw2,Regression,FtOtSoRtBgp4Fn078,Pass,Mapped,2024-01-03 01:38:30,Test case passed,TestBGPRif.test_ft_bgp_rmap,routing/BGP/test_bgp.py,"V3, V4",
51,gw2,Regression,FtOtSoRtBgp4Fn034,Pass,Mapped,2024-01-03 01:40:25,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv4,routing/BGP/test_bgp.py,"V3, V4",
52,gw2,Regression,FtOtSoRtBgp4Fn033,Pass,Mapped,2024-01-03 01:40:46,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv4,routing/BGP/test_bgp.py,"V3, V4",
53,gw2,Regression,FtOtSoRtBgp4Fn018,Pass,Mapped,2024-01-03 01:41:01,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
54,gw2,Regression,FtOtSoRtBgp4Fn077,Pass,Mapped,2024-01-03 01:41:16,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
55,gw2,Regression,FtOtSoRtBgp4Fn039,Pass,Mapped,2024-01-03 01:41:16,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
56,gw2,Regression,ft_bgp_outbound_routefilter,Pass,Mapped,2024-01-03 01:41:42,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V3, V4",
57,gw2,Regression,FtOtSoRtBgp4Fn036,Pass,Mapped,2024-01-03 01:41:42,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V3, V4",
58,gw2,Regression,FtOtSoRtBgp4Fn032,Pass,Mapped,2024-01-03 01:41:58,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4,routing/BGP/test_bgp.py,"V3, V4",
59,gw2,Regression,FtOtSoRtBgp4Fn027,Unsupported,Mapped,2024-01-03 01:42:09,UI 'klish' unsupported router bgp 65001,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",
60,gw2,Regression,ft_bgp_v6peer_route_redist_static_conn,Pass,Mapped,2024-01-03 01:42:28,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6,routing/BGP/test_bgp.py,"V3, V4",
61,gw2,Regression,bgp_redis_st_ipv6,Pass,Mapped,2024-01-03 01:42:48,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6,routing/BGP/test_bgp.py,"V3, V4",
62,gw2,Regression,ft_bgp_v6_as_path_acl,Pass,Mapped,2024-01-03 01:43:03,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
