#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
40,Regression,FtOtSoRtBgpPlFn018,Pass,Mapped,2023-12-28 23:15:54,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",
41,Regression,bgp_default_ipv6,Pass,Mapped,2023-12-28 23:16:09,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,"V3, V4",
42,Regression,FtOtSoRtBgpPlFn038,Fail,Mapped,2023-12-28 23:16:30,Entry not found,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",
43,Regression,FtOtSoRtBgp4Fn016,Pass,Mapped,2023-12-28 23:16:55,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_bgp_route_map_with_community,routing/BGP/test_bgp.py,"V3, V4",
44,Regression,FtOtSoRtBgp4Fn014,Pass,Mapped,2023-12-28 23:17:30,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_update_source,routing/BGP/test_bgp.py,"V3, V4",
45,Regression,FtOtSoRtBgp4Fn015,Pass,Mapped,2023-12-28 23:19:36,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_authentication,routing/BGP/test_bgp.py,"V3, V4",
46,Regression,FtOtSoRtBgpPlFn002,Pass,Mapped,2023-12-28 23:20:01,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_route_aggregate_ipv6,routing/BGP/test_bgp.py,"V3, V4",
47,Regression,FtOtSoRtBgpPlFn005,Pass,Mapped,2023-12-28 23:20:20,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_static_blackhole_rt_redistribute_with_routemap_ipv6,routing/BGP/test_bgp.py,"V3, V4",
48,Regression,bgp_lag_clear,Pass,Mapped,2023-12-28 23:22:11,Test case passed,TestBGPVeLag.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",
49,Regression,FtOtSoRtBgpPlFn032,Pass,Mapped,2023-12-28 23:25:41,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",
