#Release,Feature,TestCaseID,FunctionName
Arlo+,Regression,ft_ip6_L2_L3_translation,test_ft_ip_v4_v6_L2_L3_translation
Arlo+,Regression,ft_ip6_address_check_pc,test_ft_ping_v4_v6_after_ip_change_pc
Arlo+,Regression,ft_ip6_connected_host_traffic_forward,test_ft_ip6_static_route_traffic_forward_blackhole
Arlo+,Regression,ft_ip6_static_route_traffic_forward ,test_ft_ip6_static_route_traffic_forward_blackhole
Arlo+,Regression,ft_ip6_static_route_traffic_fwd_blackhole ,test_ft_ip6_static_route_traffic_forward_blackhole
Arlo+,Regression,ft_ip_L2_L3_translation,test_ft_ip_v4_v6_L2_L3_translation
Arlo+,Regression,ft_ip_address_check_pc,test_ft_ping_v4_v6_after_ip_change_pc
Arlo+,Regression,ft_ip_static_ip_on_mgmt_intrf,test_ft_ip_static_ip_on_mgmt_intrf
Arlo+,Regression,ft_ip_static_route_traffic_forward,test_ft_ip_static_route_traffic_forward
Arlo+,Regression,ft_ipv4_address_check ,test_ft_ping_v4_v6_vlan
Arlo+,Regression,ft_ipv4_bgp_ibgp_ebgp_traffic,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,Regression,ft_ipv6_address_check ,test_ft_ping_v4_v6_vlan
Arlo+,Regression,ft_ipv6_ndp_clear_cache,test_ft_ipv6_neighbor_entry
Arlo+,Regression,ft_ipv6_neighbor_entry,test_ft_ipv6_neighbor_entry
Arlo+,Regression,ft_ipv6_neighbor_static_entry,test_ft_ipv6_neighbor_entry
Arlo+,Regression,ft_ping6_after_ip_change,test_ft_ping_v4_v6_after_ip_change_pc
Arlo+,Regression,ft_ping_after_ip_change,test_ft_ping_v4_v6_after_ip_change_pc
Arlo+,Regression,ft_ping_vlan ,test_ft_ping_v4_v6_vlan
Arlo+,Sanity,l2_to_l3_port,test_l2_to_l3_port
Arlo+,VRF-Lite,FtOpSoRoVrfCli001,test_VrfFun001_06
Arlo+,VRF-Lite,FtOpSoRoVrfCli005,test_VrfFun_05_50
Arlo+,VRF-Lite,FtOpSoRoVrfCli006,test_VrfFun001_06
Arlo+,VRF-Lite,FtOpSoRoVrfFun010,test_VrfFun_10_12_14
Arlo+,VRF-Lite,FtOpSoRoVrfFun012,test_VrfFun_10_12_14
Arlo+,VRF-Lite,FtOpSoRoVrfFun014,test_VrfFun_10_12_14
Arlo+,VRF-Lite,FtOpSoRoVrfFun020,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun024,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun025,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun026,test_VrfFun_26_27
Arlo+,VRF-Lite,FtOpSoRoVrfFun027,test_VrfFun_26_27
Arlo+,VRF-Lite,FtOpSoRoVrfFun032,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun033,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun037,test_VrfFun_26_27
Arlo+,VRF-Lite,FtOpSoRoVrfFun044,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun045,test_VrfFun_20_24_25_32_33_44_45
Arlo+,VRF-Lite,FtOpSoRoVrfFun050,test_VrfFun_05_50
Arlo+,VRF-Lite,FtOpSoRoVrfFun052,test_vrf_scale
Arlo+,VRF-Lite,FtOpSoRoVrfScl056,test_vrf_bgp
Arlo+,VRF-Lite,FtOpSoRoVrfScl057,test_vrf_route_leak
Arlo+,VRF-Lite,FtOpSoRoVrfScl058,test_vrf_reload
Buzznik,Regression,CETA_SONIC_40640,test_ft_ping_v4_v6_after_ip_change_pc
Buzznik,Regression,ipv4_intf_order,test_ft_verify_interfaces_order
Buzznik,Regression,ipv6_intf_order,test_ft_verify_interfaces_order
Buzznik,sFlow Hardening,FtOpSfFn004,test_ft_sflow_sampling_v6_sFlow_collector
Buzznik,sFlow Hardening,FtOpSfFn005,test_ft_sflow_max_sflow_collector_config
Buzznik,sFlow Hardening,FtOpSfFn008,test_ft_sflow_sampling_v6_sFlow_collector
Buzznik,sFlow Hardening,FtOpSfFn017,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow
Buzznik+,Regression,bgp_default_ipv6,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6
Buzznik+,Regression,bgp_redis_st_ipv6,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6
Buzznik3.2.0,In-Memory Debug Log,FtOpSoSysImLogFn018,TestBGPRif.test_ft_bgp_v6_link_local_bgp
Buzznik3.2.0,Regression,ft_bgp_ibgp_RR_Loop,test_ft_bgp_ibgp_RR_Loop
Buzznik3.5.1,Regression,ft_bgp_ebgp_community_map,test_ft_bgp_ebgp_community_map
Cyrus4.0.0,RIF Counters,RIF_COUNT_FUNC_001,test_ft_ip_static_route_traffic_forward
Cyrus4.0.0,RIF Counters,RIF_COUNT_FUNC_0031,test_ft_ip6_static_route_traffic_forward_blackhole
Cyrus4.0.0,RIF Counters,RIF_COUNT_FUNC_021,test_ft_ip_static_route_traffic_forward
Cyrus4.0.0,Regression,test_ft_bgp_ebgp_community_sub,test_ft_bgp_ebgp_community_map
