#,Node,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
29,gw2,Regression,FtOpSoSwlldpFn004,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_non_default_config,system/test_lldp.py,"V1, V2",
30,gw2,Regression,FtOpSoSwlldpFn013,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_docker_restart,system/test_lldp.py,"V1, V2",
31,gw2,Regression,lldp_verify_counters,Fail,Mapped,2024-01-04 01:31:20,module configuration failed. LLDP neighbors information is not found after polling @5445,test_lldp_verify_counters,system/test_lldp.py,"V1, V2",
32,gw2,Regression,ft_lldp_with_remote_server,Fail,Mapped,2024-01-04 01:31:21,module configuration failed. LLDP neighbors information is not found after polling @5445,test_ft_lldp_with_remote_server,system/test_lldp.py,"V1, V2",
33,gw3,Regression,FtOpSoSyInIpFn002,DUTFail,Mapped,2024-01-04 01:37:12,Error response from daemon: Container is not running,test_ft_port_fn_verify_shut_noshut,system/test_interface.py,"V3, V4",
34,gw4,Instrumentation,ft_sf_wm_telemetry_interval,Pass,Mapped,2024-01-04 01:38:55,verification of configured telemetry interval and reset to default interval is successful,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V2,
35,gw4,Instrumentation Enhancements,ft_sf_snapshot_tam_Error_Logs,Fail,SubTest,2024-01-04 01:38:55,Error logs are getting generated on the device,test_ft_watermark_telemetry_interval,system/test_snapshot.py,V2,
36,gw6,Regression,ft_ntp_message_log_display_with_correct_time,ScriptError,Mapped,2024-01-04 01:43:26,Exception IndexError list index out of range in file /apis/system/ntp.py at line 347,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,V1,
37,gw6,Regression,ft_ntp_disable_ntp_enable_ntp,ScriptError,Mapped,2024-01-04 01:43:26,Exception IndexError list index out of range in file /apis/system/ntp.py at line 347,test_ft_ntp_disable_enable_with_message_log,system/test_ntp.py,V1,
38,gw6,Regression,ft_ntp_existsconfig,Pass,Mapped,2024-01-04 01:43:40,Test case passed,test_ntp_exists_config,system/test_ntp.py,V1,
39,gw4,Regression,ft_tacacsauth_enable_pamfile_created,Fail,Mapped,2024-01-04 01:44:55,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V2,
40,gw4,Regression,ft_tacacs_ssh_login,Fail,Mapped,2024-01-04 01:44:55,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V2,
41,gw4,Regression,ft_tacacs_single_server_for_auth,Fail,Mapped,2024-01-04 01:44:55,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V2,
42,gw4,Regression,ft_tacacs_default_login,Fail,Mapped,2024-01-04 01:44:55,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V2,
43,gw4,Regression,executing_server_key_in_appropriate_mode,Fail,Mapped,2024-01-04 01:44:55,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V2,
44,gw4,Regression,auth_shared_keys ,Fail,Mapped,2024-01-04 01:44:55,PAM file is not created,test_ft_tacacs_ssh_login_with_tacacs_operations,security/test_tacacs.py,V2,
45,gw5,Regression,ft_snmp_sysName,Fail,Mapped,2024-01-04 01:46:52,sysname output is not in sync between system and snmp,test_ft_snmp_sysName,system/test_snmp.py,V4,
46,gw5,Regression,ft_snmp_test_syUpTime,Pass,Mapped,2024-01-04 01:46:58,Test case passed,test_ft_snmp_test_syUpTime,system/test_snmp.py,V4,
47,gw5,Regression,ft_snmp_sysDescr,Pass,Mapped,2024-01-04 01:47:06,Test case passed,test_ft_snmp_sysDescr,system/test_snmp.py,V4,
48,gw5,Regression,FtOpSoSySnFn008,Pass,Mapped,2024-01-04 01:47:13,Test case passed,test_ft_snmp_mib_2,system/test_snmp.py,V4,
