Feature,Regression?,TestCase,Result,Description,Function,Module,Devices,Analisis,DUT Defect ID,SQA Defect ID,Engineer,Only Pending
Regression,,ft_bgp_outbound_routefilter,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn036,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv4,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn032,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv4,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn027,Unsupported,UI 'klish' unsupported router bgp 65001,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv4,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v6peer_route_redist_static_conn,Pass,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_connected_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,bgp_redis_st_ipv6,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_redistribute_static_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,ft_bgp_v6_as_path_acl,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn014,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn012,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_distribute_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn007,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn016,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_prefix_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn018,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_filter_list_out_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,bgp_default_ipv6,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_default_originate_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn038,Fail,Entry not found,TestBGPIPvxRouteAdvertisementFilter.test_route_map_in_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn016,Pass,The operation is successful,TestBGPIPvxRouteAdvertisementFilter.test_bgp_route_map_with_community,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn014,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_update_source,routing/BGP/test_bgp.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfScl056,Pass,Test case passed,test_vrf_bgp,routing/VRF/test_vrf_scale.py,"V1, V2",,,,,
Regression,,FtOtSoRtBgp4Fn015,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_bgp_ebgp4_nbr_authentication,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn002,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_route_aggregate_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn005,Pass,Test case passed,TestBGPIPvxRouteAdvertisementFilter.test_static_blackhole_rt_redistribute_with_routemap_ipv6,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,bgp_lag_clear,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_clear,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgpPlFn032,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn070,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,FtOtSoRtBgp4Fn069,Pass,Test case passed,TestBGPVeLag.test_ft_bgp_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
Regression,,bgpl3lag_traffic,Pass,Test case passed,TestBGPL3Lag.test_ft_bgp_l3lag_peer_traffic_check,routing/BGP/test_bgp.py,"V3, V4",,,,,
VRF-Lite,,FtOpSoRoVrfScl058,Fail,"Command 'show vrf' failed to give prompt, recovered using CTRL+C",test_vrf_reload,routing/VRF/test_vrf_scale.py,"V1, V2",,,,,
Regression,,FtOpSoRtIpv4Fn003,Fail,Test case Failed.,test_l3_v4_route_po_1,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ipv4_address_check ,Pass,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ipv6_address_check ,Pass,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ping_vlan ,Pass,Test case passed,test_ft_ping_v4_v6_vlan,routing/test_ip.py,"V3, V4",,,,,
Regression,,CETA_SONIC_40640,Pass,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip_address_check_pc,Pass,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip6_address_check_pc,Pass,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ping6_after_ip_change,Pass,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ping_after_ip_change,Pass,Test case passed,test_ft_ping_v4_v6_after_ip_change_pc,routing/test_ip.py,"V3, V4",,,,,
RIF Counters,,RIF_COUNT_FUNC_0031,Fail,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip6_static_route_traffic_forward ,Fail,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip6_static_route_traffic_fwd_blackhole ,Fail,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",,,,,
Regression,,ft_ip6_connected_host_traffic_forward,Fail,traffic verification is failed,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",,,,,
RIF Counters,,RIF_COUNT_FUNC_001,Unsupported,rif counters update unsupported on Physical-Interface routing interface,test_ft_ip6_static_route_traffic_forward_blackhole,routing/test_ip.py,"V3, V4",,,,,
