#,Node,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
46,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_aggregate_ipv6,Pass,0:00:26,0:00:00.000,0:00:11.412,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
47,gw2,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_static_blackhole_rt_redistribute_with_routemap_ipv6,Pass,0:00:19,0:00:00.000,0:00:07.336,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
48,gw2,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_clear,Pass,0:00:16,0:00:00.000,0:00:04.089,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
49,gw2,routing/BGP/test_bgp.py,TestBGPVeLag::test_ft_bgp_peer_traffic_check,Pass,0:03:31,0:00:00.000,0:00:11.399,0:00:00.000,0:01:00,0:00:40,0,0,Test case passed
50,gw2,routing/BGP/test_bgp.py,TestBGPL3Lag::test_ft_bgp_l3lag_peer_traffic_check,Pass,0:03:29,0:00:00.000,0:00:09.578,0:00:00.000,0:01:00,0:00:40,0,0,Test case passed
51,gw2,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,,0:01:32,0:00:36.490,0:00:31.010,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
52,gw2,system/test_sflow.py,test_ft_sflow_sampling_v6_sFlow_collector,Fail,0:02:24,0:00:00.000,0:00:53.184,0:00:00.000,0:00:09,0:00:00,0,0,Test case Failed.
53,gw2,system/test_sflow.py,test_ft_sflow_max_sflow_collector_config,Pass,0:00:32,0:00:00.000,0:00:10.700,0:00:00.000,0:00:07,0:00:00,0,0,Successfully verified sFlow sampling functionality.
54,gw2,system/test_sflow.py,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,Pass,0:01:24,0:00:00.000,0:00:59.922,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
55,gw2,routing/test_ip.py,test_l3_v4_route_po_1,,0:01:29,0:00:35.286,0:00:37.823,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
56,gw2,routing/test_ip.py,test_l3_v4_route_po_1,TGenFail,0:03:48,0:00:00.000,0:00:08.574,0:00:00.000,0:00:16,0:00:10,0,0,Traffic generator API Failed with status 209 TX Counter raw_pkt_count is zero for port: port-1
57,gw2,routing/test_ip.py,test_ft_ping_v4_v6_vlan,Fail,0:00:10,0:00:00.000,0:00:03.335,0:00:00.000,0:00:00,0:00:00,0,0,Failed to ping ip address 192.168.2.1
58,gw2,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,Fail,0:00:07,0:00:00.000,0:00:00.667,0:00:00.000,0:00:00,0:00:00,0,0,Portchannel PortChannel100 on V2 state Up verification failed.
59,gw2,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,Fail,0:01:10,0:00:00.000,0:00:02.852,0:00:00.000,0:00:02,0:00:10,0,0,traffic verification is failed
60,gw2,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,Fail,0:02:04,0:00:00.000,0:00:02.741,0:00:00.000,0:00:00,0:00:10,0,0,Test case Failed.
61,gw2,routing/test_ip.py,test_ft_ip_v4_v6_L2_L3_translation,Pass,0:01:33,0:00:00.000,0:00:31.267,0:00:00.000,0:00:12,0:00:00,0,0,Test case passed
62,gw2,routing/test_ip.py,test_ft_verify_interfaces_order,Pass,0:00:32,0:00:00.000,0:00:17.766,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
63,gw2,sanity/test_sanity_l3.py,test_l2_to_l3_port,,0:01:20,0:00:36.513,0:00:42.056,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
64,gw2,sanity/test_sanity_l3.py,test_l2_to_l3_port,Fail,0:01:44,0:00:00.000,0:01:30.623,0:00:00.000,0:00:00,0:00:00,0,0,Failed to port L2 config to L3 config
65,gw2,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,,0:03:44,0:00:35.297,0:00:53.793,0:00:00.000,0:00:20,0:00:00,0,0,Module Configuration
66,gw2,routing/BGP/test_bgp_rr_traffic.py,TestBGPRrTraffic::test_ft_bgp6_rr_traffic_check,Pass,0:02:36,0:00:00.000,0:00:09.431,0:00:00.000,0:00:25,0:01:10,0,0,Test case passed
