#,Node,Module,Function,DUT,MEM-INITIAL,MEM-FINAL,MEM-DIFF,CPU-INITIAL,CPU-FINAL,CPU-DIFF
101,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_map_in_ipv4,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
102,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_map_in_ipv4,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
103,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_connected_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
104,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_connected_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
105,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_static_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
106,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_redistribute_static_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
107,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_distribute_list_in_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
108,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_distribute_list_in_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
109,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_filter_list_in_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
110,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_filter_list_in_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
111,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_prefix_list_out_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
112,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_prefix_list_out_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
113,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_filter_list_out_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
114,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_filter_list_out_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
115,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_default_originate_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
116,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_default_originate_ipv6,V2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
117,gw3,routing/BGP/test_bgp.py,TestBGPIPvxRouteAdvertisementFilter::test_route_map_in_ipv6,V1,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
